instrument,harmo1,harmo2,harmo3
oboe,11.842,11.58,10.28
flute,-17.083,-17.384,-21.496
trumpet,-8.152,-24.089,-23.813
oboe,9.381,12.434,11.905
oboe,-1.217,2.082,16.275
trumpet,-3.294,-13.812,-17.934
trumpet,-4.118,-13.485,-18.985
oboe,7.399,11.342,13.785
oboe,9.404,15.481,20.527
oboe,12.996,22.324,10.216
oboe,13.937,15.742,6.337
flute,-18.533,-18.426,-21.231
oboe,10.63,9.626,5.531
oboe,11.992,8.272,6.88
oboe,9.754,15.6,20.279
flute,-17.49,-13.772,-22.155
oboe,14.704,16.619,10.112
trumpet,-5.074,-18.586,-20.329
trumpet,-5.989,-21.721,-19.662
oboe,-1.103,8.57,-16.137
oboe,6.292,3.386,12.719
trumpet,-5.851,-21.82,-18.89
trumpet,-8.26,-12.186,-25.201
trumpet,-4.186,-22.088,-24.617
oboe,7.271,6.315,10.762
trumpet,-8.261,-16.966,-20.572
oboe,12.371,19.18,11.907
trumpet,-10.116,-12.525,-20.363
oboe,-4.414,1.926,15.125
flute,-17.129,-25.536,-22.304
oboe,10.907,9.438,6.686
oboe,-3.057,10.876,1.869
oboe,7.124,13.35,17.285
oboe,13.518,13.348,4.831
trumpet,-8.154,-20.552,-19.437
trumpet,-3.448,-13.937,-23.859
trumpet,-5.147,-14.748,-23.64
oboe,13.03,18.059,12.781
oboe,5.323,9.875,-1.361
oboe,6.476,10.72,15.625
trumpet,-5.003,-20.608,-18.884
trumpet,-12.456,-17.779,-21.841
oboe,7.117,11.693,10.383
oboe,8.575,11.069,12.133
oboe,14.09,18.251,12.147
oboe,7.166,11.134,16.778
flute,-22.503,-13.246,-25.17
flute,-18.999,-20.301,-25.328
oboe,10.5,9.909,6.508
oboe,7.159,13.379,19.227
trumpet,-6.761,-23.756,-19.835
oboe,13.959,13.344,4.587
trumpet,-6.499,-19.339,-23.353
oboe,7.075,8.51,15.398
oboe,-1.423,3.346,10.851
oboe,11.607,10.669,6.742
trumpet,-5.505,-16.712,-23.64
flute,-16.254,-16.158,-20.837
oboe,14.505,17.049,9.971
oboe,6.78,11.816,17.259
trumpet,-6.146,-5.841,-24.396
trumpet,-12.169,-16.671,-22.166
trumpet,-5.124,-18.04,-18.795
trumpet,-5.685,-15.448,-16.499
trumpet,-6.255,-20.257,-19.852
trumpet,-5.386,-19.893,-17.396
oboe,13.371,14.508,9.914
trumpet,-6.315,-24.798,-17.876
oboe,-0.422,9.112,-9.103
oboe,14.543,15.792,9.773
trumpet,-5.124,-15.081,-25.901
trumpet,-5.283,-20.16,-22.338
oboe,12.602,18.617,10.265
trumpet,-8.443,-23.669,-22.361
oboe,-1.649,9.867,-4.615
trumpet,-3.796,-18.345,-19.845
trumpet,-6.48,-23.541,-21.463
oboe,6.851,9.771,8.902
flute,-18.529,-22.544,-21.717
trumpet,-3.997,-19.156,-22.747
oboe,14.544,16.423,5.963
oboe,7.286,10.694,14.436
oboe,7.067,12.318,17.582
oboe,12.583,9.68,7.011
