year,tsi,sunspots
1948.5,1363.726,229.934
1948.55,1363.766,223.497
1948.6,1363.779,215.781
1948.65,1363.895,202.475
1948.7,1363.906,192.546
1948.75,1363.899,192.41
1948.8,1363.907,188.667
1948.85,1363.836,184.802
1948.9,1363.772,190.984
1948.95,1363.753,197.093
1949.0,1363.721,194.918
1949.05,1363.751,196.187
1949.1,1363.763,197.82
1949.15,1363.727,197.186
1949.2,1363.714,201.044
1949.25,1363.744,195.176
1949.3,1363.708,193.852
1949.35,1363.746,196.656
1949.4,1363.792,183.809
1949.45,1363.783,184.165
1949.5,1363.807,182.115
1949.55,1363.772,184.038
1949.6,1363.77,178.399
1949.65,1363.742,184.104
1949.7,1363.739,188.868
1949.75,1363.755,186.814
1949.8,1363.762,184.339
1949.85,1363.787,177.962
1949.9,1363.738,176.346
1949.95,1363.739,171.661
1950.0,1363.73,164.689
1950.05,1363.704,158.126
1950.1,1363.646,161.516
1950.15,1363.666,154.88
1950.2,1363.65,147.186
1950.25,1363.621,144.148
1950.3,1363.606,143.027
1950.35,1363.566,142.639
1950.4,1363.6,140.667
1950.45,1363.592,130.813
1950.5,1363.573,125.841
1950.55,1363.565,119.852
1950.6,1363.553,110.104
1950.65,1363.48,104.962
1950.7,1363.434,101.615
1950.75,1363.407,94.727
1950.8,1363.374,89.415
1950.85,1363.36,85.813
1950.9,1363.351,80.731
1950.95,1363.336,81.339
1951.0,1363.324,81.519
1951.05,1363.306,82.214
1951.1,1363.29,88.379
1951.15,1363.224,100.213
1951.2,1363.218,103.011
1951.25,1363.188,112.769
1951.3,1363.207,116.231
1951.35,1363.23,112.749
1951.4,1363.242,115.913
1951.45,1363.262,115.604
1951.5,1363.272,120.082
1951.55,1363.286,116.831
1951.6,1363.314,110.093
1951.65,1363.395,97.758
1951.7,1363.414,91.148
1951.75,1363.445,83.508
1951.8,1363.412,81.716
1951.85,1363.39,77.246
1951.9,1363.363,70.857
1951.95,1363.321,65.208
1952.0,1363.292,55.601
1952.05,1363.271,52.557
1952.1,1363.241,49.412
1952.15,1363.213,45.169
1952.2,1363.175,42.421
1952.25,1363.157,41.667
1952.3,1363.129,41.798
1952.35,1363.111,42.399
1952.4,1363.108,44.344
1952.45,1363.113,51.158
1952.5,1363.112,50.71
1952.55,1363.105,49.825
1952.6,1363.097,48.71
1952.65,1363.078,49.803
1952.7,1363.08,49.945
1952.75,1363.074,48.973
1952.8,1363.088,46.902
1952.85,1363.085,44.104
1952.9,1363.073,38.301
1952.95,1363.056,30.213
1953.0,1363.04,29.246
1953.05,1363.033,29.577
1953.1,1363.014,30.803
1953.15,1363.018,27.814
1953.2,1362.994,27.945
1953.25,1362.987,24.841
1953.3,1362.965,21.093
1953.35,1362.947,20.519
1953.4,1362.937,25.093
1953.45,1362.935,26.082
1953.5,1362.943,27.28
1953.55,1362.941,25.639
1953.6,1362.955,21.847
1953.65,1362.959,21.17
1953.7,1362.975,17.692
1953.75,1362.974,15.596
1953.8,1362.976,13.776
1953.85,1362.98,13.225
1953.9,1362.979,7.967
1953.95,1362.981,7.295
1954.0,1362.965,6.077
1954.05,1362.961,4.747
1954.1,1362.952,4.11
1954.15,1362.943,4.164
1954.2,1362.934,4.148
1954.25,1362.926,3.637
1954.3,1362.921,4.214
1954.35,1362.919,5.175
1954.4,1362.919,6.514
1954.45,1362.918,6.505
1954.5,1362.932,4.407
1954.55,1362.944,5.115
1954.6,1362.95,5.77
1954.65,1362.963,7.813
1954.7,1362.976,7.813
1954.75,1362.991,9.197
1954.8,1363.002,12.689
1954.85,1363.017,14.308
1954.9,1363.042,15.588
1954.95,1363.052,17.279
1955.0,1363.061,17.404
1955.05,1363.067,18.302
1955.1,1363.081,19.819
1955.15,1363.083,20.858
1955.2,1363.096,25.65
1955.25,1363.107,28.962
1955.3,1363.141,30.066
1955.35,1363.151,29.432
1955.4,1363.14,33.448
1955.45,1363.165,39.72
1955.5,1363.192,43.352
1955.55,1363.231,47.645
1955.6,1363.247,56.109
1955.65,1363.281,65.846
1955.7,1363.335,73.324
1955.75,1363.388,78.475
1955.8,1363.436,82.874
1955.85,1363.457,91.727
1955.9,1363.436,103.769
1955.95,1363.479,112.18
1956.0,1363.533,126.443
1956.05,1363.589,135.59
1956.1,1363.661,141.747
1956.15,1363.69,148.317
1956.2,1363.684,152.251
1956.25,1363.696,159.306
1956.3,1363.684,171.891
1956.35,1363.726,176.612
1956.4,1363.79,181.339
1956.45,1363.793,187.814
1956.5,1363.801,197.044
1956.55,1363.782,203.393
1956.6,1363.808,209.35
1956.65,1363.737,221.317
1956.7,1363.786,230.454
1956.75,1363.775,240.497
1956.8,1363.829,243.148
1956.85,1363.893,248.791
1956.9,1363.973,243.913
1956.95,1364.032,241.568
1957.0,1364.049,236.836
1957.05,1364.095,235.44
1957.1,1364.087,238.874
1957.15,1364.163,232.645
1957.2,1364.146,230.809
1957.25,1364.063,234.692
1957.3,1364.013,235.291
1957.35,1363.942,241.066
1957.4,1363.937,242.464
1957.45,1363.838,248.516
1957.5,1363.716,264.011
1957.55,1363.596,276.863
1957.6,1363.532,288.12
1957.65,1363.582,290.654
1957.7,1363.596,297.995
1957.75,1363.574,302.306
1957.8,1363.575,311.836
1957.85,1363.625,307.863
1957.9,1363.568,311.396
1957.95,1363.614,307.344
1958.0,1363.602,299.038
1958.05,1363.645,292.868
1958.1,1363.623,286.269
1958.15,1363.62,278.787
1958.2,1363.604,275.366
1958.25,1363.764,261.703
1958.3,1363.753,252.236
1958.35,1363.69,259.454
1958.4,1363.708,263.612
1958.45,1363.726,268.33
1958.5,1363.815,267.934
1958.55,1363.885,263.508
1958.6,1363.926,262.022
1958.65,1363.969,256.269
