freq_mean,time_len
31.000,7.500
30.340,6.250
28.921,4.750
27.218,9.750
29.574,6.750
27.346,9.750
26.988,10.250
26.286,10.500
22.716,12.750
24.757,8.750
33.674,5.750
24.568,11.000
23.400,12.500
25.991,13.750
22.360,14.250
25.018,14.000
26.017,7.250
23.817,10.250
27.540,6.250
25.250,7.000
24.033,7.500
24.522,11.500
24.652,11.500
28.981,6.750
26.765,8.500
25.444,9.000
47.333,3.000
48.367,3.750
46.233,3.750
42.438,4.000
41.700,3.750
41.188,4.000
42.433,3.750
42.188,4.000
49.206,4.250
47.500,4.000
43.056,2.250
44.125,2.000
43.214,1.750
47.346,3.250
45.786,3.500
47.029,4.250
46.711,4.750
49.206,4.250
51.711,4.750
51.278,4.500
49.567,3.750
44.611,2.250
45.125,2.000
48.000,4.000
47.794,4.250
48.000,3.500
43.583,3.000
42.722,4.500
45.310,5.250
45.227,5.500
42.750,3.000
44.184,4.750
44.050,5.000
43.643,5.250
43.300,1.250
43.500,1.500
41.750,2.000
42.643,1.750
41.944,2.250
41.722,2.250
42.400,2.500
21.709,16.750
21.484,15.250
20.775,20.000
20.198,21.500
19.083,21.000
20.128,19.500
19.684,21.750
19.989,22.000
23.515,16.250
20.792,18.000
21.729,20.750
19.408,24.500
18.542,23.750
20.084,22.250
20.465,21.500
19.500,17.500
18.246,29.500
17.932,27.750
18.036,28.000
17.624,28.250
19.105,21.500
21.054,16.250
20.264,13.750
20.100,15.000
22.375,10.000
21.136,16.500
19.532,15.750
20.374,25.750
20.224,24.500
18.717,23.000
18.511,23.750
19.641,16.000
19.948,16.750
21.463,20.250
19.967,22.500
19.411,22.500
19.020,25.000
18.450,25.250
21.030,16.500
19.876,23.250
18.964,21.000
22.159,20.500
21.172,16.750
19.871,22.250
20.108,18.500
19.587,17.250
19.122,22.500
19.638,16.250
19.367,22.500
19.488,20.500
19.073,24.000
18.646,22.250
20.126,22.750
19.656,24.000
18.941,23.250
18.160,25.750
21.484,15.750
19.112,24.500
19.022,23.000
19.616,21.500
19.815,18.250
19.777,23.500
20.095,21.000
19.412,22.750
19.712,20.000
18.520,25.500
18.606,26.000
20.386,22.000
18.878,24.500
19.330,23.500
18.407,26.750
19.887,18.750
19.843,17.500
22.359,16.000
20.316,19.000
20.389,18.000
22.483,15.000
21.974,14.250
20.934,19.000
18.362,21.750
19.964,28.000
19.721,21.500
19.521,24.000
18.827,25.250
22.011,22.500
18.362,29.000
22.966,14.500
22.654,16.250
19.807,18.750
19.188,19.250
19.545,16.750
18.911,28.000
17.953,37.500
18.624,26.250
19.005,26.750
18.205,28.000
19.442,25.750
20.685,27.000
18.024,26.250
19.069,25.500
21.463,13.500
19.053,23.500
18.969,24.500
20.103,19.500
20.024,21.000
20.019,19.250
19.273,24.250
19.263,24.250
19.057,26.500
19.736,22.250
19.595,23.750
20.197,22.250
19.679,21.000
20.763,24.750
20.521,24.000
19.272,25.250
18.765,25.500
19.059,23.250
18.750,25.000
18.382,19.000
18.638,14.500
18.578,25.750
18.776,26.250
18.916,25.250
19.019,26.000
19.131,25.750
19.150,25.750
19.630,17.250
19.218,19.500
20.805,20.500
20.944,13.500
21.700,11.250
18.488,20.500
19.489,23.250
19.237,23.750
19.170,23.500
