year,tsi,sunspots
1948.5,1363.85,189.877
1948.6,1363.813,192.869
1948.7,1363.742,203.749
1948.8,1363.726,212.414
1948.9,1363.777,205.891
1949.0,1363.81,196.701
1949.1,1363.805,191.413
1949.2,1363.776,187.34
1949.3,1363.767,187.937
1949.4,1363.763,188.332
1949.5,1363.733,195.093
1949.6,1363.736,188.827
1949.7,1363.763,179.992
1949.8,1363.767,173.082
1949.9,1363.709,169.984
1950.0,1363.691,167.877
1950.1,1363.681,163.551
1950.2,1363.674,158.238
1950.3,1363.647,145.134
1950.4,1363.598,135.619
1950.5,1363.535,124.145
1950.6,1363.488,115.932
1950.7,1363.473,110.26
1950.8,1363.448,103.499
1950.9,1363.421,98.468
1951.0,1363.325,102.562
1951.1,1363.292,102.173
1951.2,1363.296,98.11
1951.3,1363.297,100.745
1951.4,1363.303,99.118
1951.5,1363.318,96.515
1951.6,1363.309,98.995
1951.7,1363.303,93.167
1951.8,1363.281,87.719
1951.9,1363.275,79.915
1952.0,1363.295,66.071
1952.1,1363.268,61.732
1952.2,1363.233,57.888
1952.3,1363.201,53.099
1952.4,1363.167,48.801
1952.5,1363.126,46.298
1952.6,1363.109,44.262
1952.7,1363.089,41.153
1952.8,1363.075,39.89
1952.9,1363.054,39.541
1953.0,1363.037,38.932
1953.1,1363.025,33.929
1953.2,1363.004,31.205
1953.3,1362.992,28.172
1953.4,1362.984,26.307
1953.5,1362.983,22.488
1953.6,1362.969,17.307
1953.7,1362.958,16.553
1953.8,1362.953,16.482
1953.9,1362.953,12.97
1954.0,1362.954,10.871
1954.1,1362.949,8.929
1954.2,1362.949,7.285
1954.3,1362.948,5.214
1954.4,1362.951,4.973
1954.5,1362.955,5.975
1954.6,1362.963,8.51
1954.7,1362.981,11.216
1954.8,1362.998,10.962
1954.9,1363.017,12.923
1955.0,1363.037,16.912
1955.1,1363.073,21.578
1955.2,1363.092,24.542
1955.3,1363.129,30.578
1955.4,1363.167,38.123
1955.5,1363.219,50.005
1955.6,1363.285,57.0
1955.7,1363.291,69.627
1955.8,1363.368,85.495
1955.9,1363.455,99.918
1956.0,1363.513,113.205
1956.1,1363.565,127.759
1956.2,1363.615,143.719
1956.3,1363.67,162.534
1956.4,1363.733,176.934
1956.5,1363.732,192.372
1956.6,1363.766,207.568
1956.7,1363.886,212.366
1956.8,1363.927,217.321
1956.9,1363.949,223.981
1957.0,1363.968,231.178
1957.1,1363.919,240.109
1957.2,1363.957,242.868
1957.3,1363.88,250.869
1957.4,1363.814,263.008
1957.5,1363.878,263.937
1957.6,1363.792,274.008
1957.7,1363.75,277.181
1957.8,1363.642,282.156
1957.9,1363.579,287.529
1958.0,1363.599,286.649
1958.1,1363.664,281.797
1958.2,1363.64,287.693
1958.3,1363.711,283.392
1958.4,1363.774,273.995
1958.5,1363.739,269.655
1958.6,1363.791,259.625
1958.7,1363.743,260.836
1958.8,1363.773,260.312
1958.9,1363.825,253.384
1959.0,1363.779,255.082
1959.1,1363.758,254.055
1959.2,1363.751,249.466
1959.3,1363.728,243.726
1959.4,1363.725,233.945
1959.5,1363.693,227.238
1959.6,1363.71,220.562
1959.7,1363.748,213.942
1959.8,1363.79,201.992
1959.9,1363.763,196.723
1960.0,1363.785,188.877
1960.1,1363.786,182.871
1960.2,1363.786,176.984
1960.3,1363.834,171.395
1960.4,1363.824,167.022
1960.5,1363.851,162.303
1960.6,1363.834,153.724
1960.7,1363.811,142.615
1960.8,1363.773,135.778
1960.9,1363.735,127.721
1961.0,1363.681,117.512
1961.1,1363.639,112.883
1961.2,1363.627,102.622
1961.3,1363.553,93.82
1961.4,1363.504,86.942
1961.5,1363.459,78.929
1961.6,1363.416,73.181
1961.7,1363.371,73.729
1961.8,1363.346,73.551
1961.9,1363.327,71.499
1962.0,1363.329,70.055
1962.1,1363.315,63.112
1962.2,1363.265,58.014
1962.3,1363.238,55.808
1962.4,1363.217,56.151
1962.5,1363.196,54.934
1962.6,1363.182,53.627
1962.7,1363.175,49.685
1962.8,1363.156,44.825
1962.9,1363.137,42.668
1963.0,1363.113,43.419
1963.1,1363.1,41.386
1963.2,1363.096,43.142
1963.3,1363.087,41.66
1963.4,1363.078,41.825
1963.5,1363.081,40.625
1963.6,1363.079,39.545
1963.7,1363.073,38.274
1963.8,1363.073,38.546
1963.9,1363.068,35.507
1964.0,1363.052,30.352
1964.1,1363.038,28.332
1964.2,1363.025,24.751
1964.3,1363.027,20.37
1964.4,1363.022,16.128
1964.5,1363.015,14.049
1964.6,1363.016,14.973
1964.7,1363.018,15.186
1964.8,1363.015,14.29
1964.9,1363.015,14.109
1965.0,1363.028,16.436
1965.1,1363.046,17.549
1965.2,1363.059,17.332
1965.3,1363.069,19.24
1965.4,1363.075,21.17
1965.5,1363.075,21.888
1965.6,1363.079,22.425
1965.7,1363.094,24.088
1965.8,1363.103,26.208
1965.9,1363.127,31.86
1966.0,1363.167,34.542
1966.1,1363.2,39.641
1966.2,1363.246,45.762
1966.3,1363.279,51.2
1966.4,1363.32,55.91
1966.5,1363.359,63.896
1966.6,1363.402,72.367
1966.7,1363.459,82.458
1966.8,1363.505,94.652
1966.9,1363.563,97.373
1967.0,1363.556,102.849
1967.1,1363.576,106.058
1967.2,1363.566,114.167
1967.3,1363.615,118.208
1967.4,1363.64,123.364
1967.5,1363.668,127.992
1967.6,1363.672,135.077
1967.7,1363.676,136.247
1967.8,1363.701,133.975
1967.9,1363.696,137.553
1968.0,1363.719,142.73
1968.1,1363.696,146.09
1968.2,1363.712,147.257
1968.3,1363.7,150.759
1968.4,1363.705,152.626
1968.5,1363.696,151.699
1968.6,1363.707,148.85
1968.7,1363.718,148.249
1968.8,1363.705,154.195
1968.9,1363.71,155.284
1969.0,1363.706,157.362
1969.1,1363.746,157.216
1969.2,1363.761,153.126
1969.3,1363.779,151.344
1969.4,1363.773,149.896
1969.5,1363.776,148.838
1969.6,1363.782,148.436
1969.7,1363.758,151.447
1969.8,1363.781,146.89
1969.9,1363.762,148.46
1970.0,1363.775,145.581
1970.1,1363.764,147.995
1970.2,1363.756,149.926
1970.3,1363.736,150.471
1970.4,1363.75,149.436
1970.5,1363.766,150.959
1970.6,1363.773,146.019
1970.7,1363.756,141.263
